query_name,is_have_data,company_id,company_name_th,company_name_en,submit_obj_big_type,obj_tname,cap_amt,company_value
วทันยา บุนนาค,False,,,,,,,
สุวัฒน์ แจ้งยอดสุข,True,0115537003367,เจ.ซี.พี. กรุ๊ป อินเตอร์เนชั่นแนล จำกัด,"J.C.P. GROUP INTERNATIONAL CO., LTD.",F,-,3000000,0
เกื้อกูล ด่านชัยวิจิตร,True,0103528009372,ก.ศักดิ์การเคหะ,,G,-,5010000,0
เกื้อกูล ด่านชัยวิจิตร,True,0145531000188,วังน้อยพัฒนาที่ดิน จำกัด,"WANGNOI LAND DEVELOPMENT CO., LTD.",L,-,5000000,0
เกื้อกูล ด่านชัยวิจิตร,True,0145529000141,ยืนยง เคหะการเกษตร จำกัด,,F,-,5000000,0
เกื้อกูล ด่านชัยวิจิตร,True,0145545000398,พฤกษพัฒน์ จำกัด,,F,การติดตั้งส่วนประกอบอาคารและการตกแต่งภายใน,300000,293500
วราวุธ ศิลปอาชา,True,0105533075088,สยาม อิเลคโตรเคมิคอล จำกัด,"SIAM ELELCTROCHEMICAL CO., LTD.",L,การซื้อและการขายอสังหาริมทรัพย์ที่เป็นของตนเองที่ไม่ใช่ เพื่อเป็นที่พักอาศัย,722100000,0
วราวุธ ศิลปอาชา,True,0105496000466,สหะศรีชัยก่อสร้าง จำกัด,THE UNITED SRICHAI CONSTRUCTION COMPANY LIMITED,L,การเช่าและการดำเนินการเกี่ยวกับอสังหาริมทรัพย์ที่เป็นของ ตนเองหรือเช่าจากผู้อื่นที่ไม่ใช่เพื่อเป็นที่พักอาศัย,10000000,-16291720
วราวุธ ศิลปอาชา,True,0725560001761,พีเพิ้ล  อินสปายด์ จำกัด,PEOPLE  INSPIRED COMPANY LIMITED,J,การบริการอินเทอร์เน็ตแบบใช้สายและไร้สาย,1000000,1003848
ศุภชัย โพธิ์สุ,False,,,,,,,
ชวน หลีกภัย,False,,,,,,,
ต่อศักดิ์ อัศวเหม,True,0105554147649,อาร์คแมทเทอร์ จำกัด,"ARCHMATTER CO.,LTD.",M,กิจกรรมการออกแบบและตกแต่งภายใน,1000000,2499210
ต่อศักดิ์ อัศวเหม,True,0105548102442,แอด์ด ออน อิงค์ จำกัด,ADD ON INK  COMPANY LIMITED,N,การจัดการแสดงทางธุรกิจและการแสดงสินค้า,3000000,-1553204
ต่อศักดิ์ อัศวเหม,True,0105564155181,บ้านแก้วเรือนขวัญ จำกัด,BAAN KEAW RUEN KWAN COMPANY LIMITED,I,การบริการด้านอาหารในภัตตาคาร/ร้านอาหาร,2500000,2277078
เอกราช ช่างเหลา,True,0105542016471,ไทย ทรานส์เทค เอ็กเซสซอรี่ จำกัด,"THAI TRANSTEK ACCESSORIES CO.,LTD.",R,กิจกรรมการขายสลากกินแบ่ง,2000000,2199193
เอกราช ช่างเหลา,True,0403544000519,รวมทองภิวัตร,,F,การก่อสร้างอาคารที่ไม่ใช่ที่พักอาศัย,1000000,0
อนุทิน ชาญวีรกูล,True,0105535026459,สวนไม้งาม จำกัด,"SUAN MAI NGAM CO., LTD.",L,การซื้อและการขายอสังหาริมทรัพย์ที่เป็นของตนเองที่ไม่ใช่ เพื่อเป็นที่พักอาศัย,10000000,0
อนุทิน ชาญวีรกูล,True,0105533013350,สินธนพัฒน์ จำกัด,"SINTANAPAT CO., LTD",F,การก่อสร้างอาคารที่ไม่ใช่ที่พักอาศัย,10000000,0
อนุทิน ชาญวีรกูล,True,0105540045377,หลักทรัพย์จัดการกองทุนรวม ซีบีแอลไทย จำกัด,CBL THAI ASSET MANAGEMENT COMPANY LIMITED,K,-,100000000,0
อนุทิน ชาญวีรกูล,True,0105533022561,มัตติกา จำกัด,MUTTIKA COMPANY LIMITED,L,การซื้อและการขายอสังหาริมทรัพย์ที่เป็นของตนเองที่ไม่ใช่ เพื่อเป็นที่พักอาศัย,100000,0
