query_name,is_have_data,company_id,company_name_th,company_name_en,submit_obj_big_type,obj_tname,cap_amt,company_value,value_share,pct_share,count_shareholder,fullname
วทันยา บุนนาค,False,,,,,,,,,,,
สุวัฒน์ แจ้งยอดสุข,False,,,,,,,,,,,
เกื้อกูล ด่านชัยวิจิตร,True,0145532000203,ก.พัชรศักดิ์ จำกัด,K. PATCHARASAKDI COMPANY LIMITED,I,โรงแรม รีสอร์ทและห้องชุด,120000000,-5996493,-2373610,39.5833,475000,เกื้อกูล ด่านชัยวิจิตร
เกื้อกูล ด่านชัยวิจิตร,True,0145538000787,ก.พัชรศักดิ์ โฮลดิ้ง จำกัด,K. PATCHARASAKDI HOLDING  COMPANY LIMITED,L,การซื้อและการขายอสังหาริมทรัพย์ที่เป็นของตนเองที่ไม่ใช่ เพื่อเป็นที่พักอาศัย,190000000,159952882,35585357,22.2474,422700,เกื้อกูล ด่านชัยวิจิตร
เกื้อกูล ด่านชัยวิจิตร,True,0145538000744,กรุงศรี เรียลตี้  จำกัด,KRUNGSRI REALTY  COMPANY LIMITED,L,การซื้อและการขายอสังหาริมทรัพย์ที่เป็นของตนเองที่ไม่ใช่ เพื่อเป็นที่พักอาศัย,140000000,111246093,26222262,23.5714,330000,เกื้อกูล ด่านชัยวิจิตร
วราวุธ ศิลปอาชา,True,0105513002689,บี.เอส.อินเตอร์เนชั่นแนล จำกัด,"B.S. INTERNATIONAL CO., LTD.",G,การขายส่งเคมีภัณฑ์ทางอุตสาหกรรม,3000000,1347228,44907,3.3333,1000,วราวุธ ศิลปอาชา
ศุภชัย โพธิ์สุ,False,,,,,,,,,,,
ชวน หลีกภัย,False,,,,,,,,,,,
ต่อศักดิ์ อัศวเหม,True,0105554147649,อาร์คแมทเทอร์ จำกัด,"ARCHMATTER CO.,LTD.",M,กิจกรรมการออกแบบและตกแต่งภายใน,1000000,2499210,2498710,99.98,9998,ต่อศักดิ์ อัศวเหม
ต่อศักดิ์ อัศวเหม,True,0735565006493,ดับบลิว พี เอส ออนไลน์ จำกัด,"WPS ONLINE CO., LTD.",G,-,1000000,0,0,10.0,2000,ต่อศักดิ์ อัศวเหม
ต่อศักดิ์ อัศวเหม,True,0105564155181,บ้านแก้วเรือนขวัญ จำกัด,BAAN KEAW RUEN KWAN COMPANY LIMITED,I,การบริการด้านอาหารในภัตตาคาร/ร้านอาหาร,2500000,2277078,2231536,98.0,24500,ต่อศักดิ์ อัศวเหม
เอกราช ช่างเหลา,False,,,,,,,,,,,
อนุทิน ชาญวีรกูล,False,,,,,,,,,,,
วัฒนา ช่างเหลา,False,,,,,,,,,,,
วทันยา วงษ์โอภาสี,False,,,,,,,,,,,
สม จาตุศรีพิทักษ์,True,0105536136771,เอส แอนด์ ที มารีน จำกัด,"S AND T MARINE CO., LTD.",L,การซื้อและการขายอสังหาริมทรัพย์ที่เป็นของตนเองที่ไม่ใช่ เพื่อเป็นที่พักอาศัย,40000000,-606205,-45465,7.5,30000,สม จาตุศรีพิทักษ์
สม จาตุศรีพิทักษ์,True,0105514007684,ตะวันออกตัวแทน จำกัด,DYNAMIC EASTERN BROKERS LIMITED,K,กิจกรรมของตัวแทนและนายหน้าประกันวินาศภัย,6000000,-1970978,-19710,1.0,6000,สม จาตุศรีพิทักษ์
สม จาตุศรีพิทักษ์,True,0105527018795,ปฐมบุตร จำกัด,PATHOMBUTR COMPANY LIMITED,G,การขายส่งสินค้าทั่วไปโดยได้รับค่าตอบแทนหรือตามสัญญาจ้าง,431000000,-259666,-903,0.3478,14991,สม จาตุศรีพิทักษ์
