doc_id,title,first_name,last_name,position,document_submitted_type,submitted_date,additional_submitted_date,disclosure_announcement_date,disclosure_start_date,disclosure_end_date,pdf_disclosure_location_url,nacc_id
131,นาย,นพพร,อุสิทธิ์,นายกองค์การบริหารส่วนจังหวัด,กรณีเข้ารับตำแหน่ง,2021-03-01,,2022-12-19,2022-12-19,2023-06-16,https://storage.googleapis.com/act_datacatalog/corrupt0/co_003/001/pdf/pdf/นพพร_อุสิทธิ์_นายกองค์การบริหารส่วนจังหวัด_กรณีเข้ารับตำแหน่ง_19_ธ.ค._2565.pdf,1
132,นาง,สุจิตรา,อุสิทธิ์,นายกองค์การบริหารส่วนตำบล,กรณีเข้ารับตำแหน่ง,2022-01-10,2023-01-24,2023-01-26,2023-01-26,2023-07-24,https://storage.googleapis.com/act_datacatalog/corrupt0/co_003/001/pdf/pdf/สุจิตรา_อุสิทธิ์_นายกองค์การบริหารส่วนตำบล_กรณีเข้ารับตำแหน่ง_26_ม.ค._2566.pdf,2
133,นาย,เอกภาพ,พลซื่อ,นายกองค์การบริหารส่วนจังหวัด,กรณีพ้นจากตำแหน่ง,2022-08-05,,2022-10-26,2022-10-26,2023-04-23,https://storage.googleapis.com/act_datacatalog/corrupt0/co_003/001/pdf/pdf/เอกภาพ_พลซื่อ_นายกองค์การบริหารส่วนจังหวัด_กรณีพ้นจากตำแหน่ง_26_ต.ค._2565.pdf,3
134,นาย,สุชีพ,หวังไมตรี,กรรมการ (ม.102 (7)),กรณีพ้นจากตำแหน่ง,2022-07-28,,2022-10-26,2022-10-26,2023-04-23,https://storage.googleapis.com/act_datacatalog/corrupt0/co_003/001/pdf/pdf/สุชีพ_หวังไมตรี_กรรมการ_(ม.102_(7))_กรณีพ้นจากตำแหน่ง_26_ต.ค._2565.pdf,4
135,นาง,สุจิตรา,พิทยานรเศรษฐ์,อธิบดี,กรณีพ้นจากตำแหน่ง,2022-10-01,,2022-10-26,2022-10-26,2023-04-23,https://storage.googleapis.com/act_datacatalog/corrupt0/co_003/001/pdf/pdf/สุจิตรา_พิทยานรเศรษฐ์_อธิบดี_กรณีพ้นจากตำแหน่ง_26_ต.ค._2565.pdf,5
136,นาย,สุบรรณ,สังคะรินทร์,นายกเทศมนตรีตำบล,กรณีพ้นจากตำแหน่ง,2015-07-29,,2022-10-26,2022-10-26,2023-04-23,https://storage.googleapis.com/act_datacatalog/corrupt0/co_003/001/pdf/pdf/สุบรรณ_สังคะรินทร์_นายกเทศมนตรีตำบล_กรณีพ้นจากตำแหน่ง_26_ต.ค._2565.pdf,6
137,นาย,วรจิตร์,เหลืองทอง,นายกองค์การบริหารส่วนตำบล,กรณีเข้ารับตำแหน่ง,2022-01-10,,2022-10-26,2022-10-26,2023-04-23,https://storage.googleapis.com/act_datacatalog/corrupt0/co_003/001/pdf/pdf/วรจิตร์_เหลืองทอง_นายกองค์การบริหารส่วนตำบล_กรณีเข้ารับตำแหน่ง_26_ต.ค._2565.pdf,7
138,นาย,ภาณุพล,รัตนกาญจนภัทร,กรรมการ (ม.102 (7)),กรณีเข้ารับตำแหน่ง,2022-07-08,,2022-10-28,2022-10-28,2023-04-25,https://storage.googleapis.com/act_datacatalog/corrupt0/co_003/001/pdf/pdf/ภาณุพล_รัตนกาญจนภัทร_กรรมการ_(ม.102_(7))_กรณีเข้ารับตำแหน่ง_28_ต.ค._2565.pdf,8
139,นาง,สมจิตต์,ธีระชุติกุล,กรรมการ (ม.102 (7)),กรณีดำรงตำแหน่งครบสามปี,2022-05-31,,2022-10-28,2022-10-28,2023-04-25,https://storage.googleapis.com/act_datacatalog/corrupt0/co_003/001/pdf/pdf/สมจิตต์_ธีระชุติกุล_กรรมการ_(ม.102_(7))_กรณีดำรงตำแหน่งครบสามปี_28_ต.ค._2565.pdf,9
140,นาย,พิศณุ,ตันติถาวร,กรรมการ (ม.102 (7)),กรณีเข้ารับตำแหน่ง,2022-08-01,,2022-10-28,2022-10-28,2023-04-25,https://storage.googleapis.com/act_datacatalog/corrupt0/co_003/001/pdf/pdf/พิศณุ_ตันติถาวร_กรรมการ_(ม.102_(7))_กรณีเข้ารับตำแหน่ง_28_ต.ค._2565.pdf,10
141,นางสาว,กอบกุล,โมทนา,กรรมการ (ม.102 (7)),กรณีเข้ารับตำแหน่ง,2022-08-30,,2022-10-28,2022-10-28,2023-04-25,https://storage.googleapis.com/act_datacatalog/corrupt0/co_003/001/pdf/pdf/กอบกุล_โมทนา_กรรมการ_(ม.102_(7))_กรณีเข้ารับตำแหน่ง_28_ต.ค._2565.pdf,11
142,นาย,นิรุต,ถึงนาค,อธิการบดี,กรณีพ้นจากตำแหน่ง,2022-08-10,,2022-10-28,2022-10-28,2023-04-25,https://storage.googleapis.com/act_datacatalog/corrupt0/co_003/001/pdf/pdf/นิรุต_ถึงนาค_อธิการบดี_กรณีพ้นจากตำแหน่ง_28_ต.ค._2565.pdf,12
143,นาง,ธนันต์พร,ตั้งพิทักษ์กุล,กรรมการ (ม.102 (7)),กรณีเข้ารับตำแหน่ง,2022-07-01,,2022-10-28,2022-10-28,2023-04-25,https://storage.googleapis.com/act_datacatalog/corrupt0/co_003/001/pdf/pdf/ธนันต์พร_ตั้งพิทักษ์กุล_กรรมการ_(ม.102_(7))_กรณีเข้ารับตำแหน่ง_28_ต.ค._2565.pdf,13
144,นาย,สมพร,วงษ์ประดิษฐ์,นายกองค์การบริหารส่วนตำบล,กรณีเข้ารับตำแหน่ง,2022-01-04,,2022-11-01,2022-11-01,2023-04-29,https://storage.googleapis.com/act_datacatalog/corrupt0/co_003/001/pdf/pdf/สมพร_วงษ์ประดิษฐ์_นายกองค์การบริหารส่วนตำบล_กรณีเข้ารับตำแหน่ง_1_พ.ย._2565.pdf,14
145,นาย,พิชญะ,จันทรานุวัฒน์,กรรมการ (ม.102 (7)),กรณีเข้ารับตำแหน่ง,2022-08-16,,2022-11-03,2022-11-03,2023-05-01,https://storage.googleapis.com/act_datacatalog/corrupt0/co_003/001/pdf/pdf/พิชญะ_จันทรานุวัฒน์_กรรมการ_(ม.102_(7))_กรณีเข้ารับตำแหน่ง_3_พ.ย._2565.pdf,15
146,นาย,เผ่าภัค,ศิริสุข,กรรมการ (ม.102 (7)),กรณีเข้ารับตำแหน่ง,2022-08-16,,2022-11-03,2022-11-03,2023-05-01,https://storage.googleapis.com/act_datacatalog/corrupt0/co_003/001/pdf/pdf/เผ่าภัค_ศิริสุข_กรรมการ_(ม.102_(7))_กรณีเข้ารับตำแหน่ง_3_พ.ย._2565.pdf,16
147,นาย,สมบัติ,กุลกิจ,นายกองค์การบริหารส่วนตำบล,กรณีพ้นจากตำแหน่ง,2021-10-01,,2022-11-03,2022-11-03,2023-05-01,https://storage.googleapis.com/act_datacatalog/corrupt0/co_003/001/pdf/pdf/สมบัติ_กุลกิจ_นายกองค์การบริหารส่วนตำบล_กรณีพ้นจากตำแหน่ง_3_พ.ย._2565.pdf,17
148,นาง,เฉลิมขวัญ,หล่อตระกูล,นายกองค์การบริหารส่วนจังหวัด,กรณีเข้ารับตำแหน่ง,2022-09-02,,2022-11-04,2022-11-04,2023-05-02,https://storage.googleapis.com/act_datacatalog/corrupt0/co_003/001/pdf/pdf/เฉลิมขวัญ_หล่อตระกูล_นายกองค์การบริหารส่วนจังหวัด_กรณีเข้ารับตำแหน่ง_4_พ.ย._2565.pdf,18
149,นาย,ถาวร,ภูสมสาย,นายกเทศมนตรีตำบล,กรณีพ้นจากตำแหน่ง,2021-02-01,,2022-11-04,2022-11-04,2023-05-02,https://storage.googleapis.com/act_datacatalog/corrupt0/co_003/001/pdf/pdf/ถาวร_ภูสมสาย_นายกเทศมนตรีตำบล_กรณีพ้นจากตำแหน่ง_4_พ.ย._2565.pdf,19
150,นาย,ชัยณรงค์,ภูนี,นายกเทศมนตรีตำบล,กรณีพ้นจากตำแหน่ง,2021-02-01,,2022-11-04,2022-11-04,2023-05-02,https://storage.googleapis.com/act_datacatalog/corrupt0/co_003/001/pdf/pdf/ชัยณรงค์_ภูนี_นายกเทศมนตรีตำบล_กรณีพ้นจากตำแหน่ง_4_พ.ย._2565.pdf,20
151,นาย,ไพฑูรย์,อินถาวร,นายกองค์การบริหารส่วนตำบล,กรณีพ้นจากตำแหน่ง,2021-10-01,,2022-11-07,2022-11-07,2023-05-05,https://storage.googleapis.com/act_datacatalog/corrupt0/co_003/001/pdf/pdf/ไพฑูรย์_อินถาวร_นายกองค์การบริหารส่วนตำบล_กรณีพ้นจากตำแหน่ง_7_พ.ย._2565.pdf,21
152,นาย,สุทธิพจน์,บูลย์ประมุข,นายกเทศมนตรีตำบล,กรณีเข้ารับตำแหน่ง,2021-05-20,,2022-11-07,2022-11-07,2023-05-05,https://storage.googleapis.com/act_datacatalog/corrupt0/co_003/001/pdf/pdf/สุทธิพจน์_บูลย์ประมุข_นายกเทศมนตรีตำบล_กรณีเข้ารับตำแหน่ง_7_พ.ย._2565.pdf,22
153,นางสาว,สุภัทรา,นาคะผิว,กรรมการสิทธิมนุษยชนแห่งชาติ,กรณีเข้ารับตำแหน่ง,2022-07-18,,2022-11-10,2022-11-10,2023-05-08,https://storage.googleapis.com/act_datacatalog/corrupt0/co_003/001/pdf/pdf/สุภัทรา_นาคะผิว_กรรมการสิทธิมนุษยชนแห่งชาติ_กรณีเข้ารับตำแหน่ง_10_พ.ย._2565.pdf,23
154,นาง,พัฒนา,สังขทรัพย์,กรรมการ (ม.102 (7)),กรณีเข้ารับตำแหน่ง,2022-08-30,,2022-11-11,2022-11-11,2023-05-09,https://storage.googleapis.com/act_datacatalog/corrupt0/co_003/001/pdf/pdf/พัฒนา_สังขทรัพย์_กรรมการ_(ม.102_(7))_กรณีเข้ารับตำแหน่ง_11_พ.ย._2565.pdf,24
155,นาย,สมศักดิ์,เธียรวิวัฒน์นุกูล,กรรมการ (ม.102 (7)),กรณีพ้นจากตำแหน่ง,2022-09-12,,2022-11-14,2022-11-14,2023-05-12,https://storage.googleapis.com/act_datacatalog/corrupt0/co_003/001/pdf/pdf/สมศักดิ์_เธียรวิวัฒน์นุกูล_กรรมการ_(ม.102_(7))_กรณีพ้นจากตำแหน่ง_14_พ.ย._2565.pdf,25
156,นาย,วสันต์,แก้วทิ้ง,กรรมการ (ม.102 (7)),กรณีเข้ารับตำแหน่ง,2022-07-22,,2022-11-14,2022-11-14,2023-05-12,https://storage.googleapis.com/act_datacatalog/corrupt0/co_003/001/pdf/pdf/วสันต์_แก้วทิ้ง_กรรมการ_(ม.102_(7))_กรณีเข้ารับตำแหน่ง_14_พ.ย._2565.pdf,26
157,นาย,อาชว,สมุทรานนท์,กรรมการ (ม.102 (7)),กรณีพ้นจากตำแหน่ง,2022-08-31,,2022-11-14,2022-11-14,2023-05-12,https://storage.googleapis.com/act_datacatalog/corrupt0/co_003/001/pdf/pdf/อาชว_สมุทรานนท์_กรรมการ_(ม.102_(7))_กรณีพ้นจากตำแหน่ง_14_พ.ย._2565.pdf,27
158,นาย,จักรพงษ์,ชาวงษ์,กรรมการ (ม.102 (7)),กรณีเข้ารับตำแหน่ง,2022-07-22,,2022-11-14,2022-11-14,2023-05-12,https://storage.googleapis.com/act_datacatalog/corrupt0/co_003/001/pdf/pdf/จักรพงษ์_ชาวงษ์_กรรมการ_(ม.102_(7))_กรณีเข้ารับตำแหน่ง_14_พ.ย._2565.pdf,28
159,นาย,สมชาย,ลินจง,นายกองค์การบริหารส่วนตำบล,กรณีพ้นจากตำแหน่ง,2021-10-01,,2022-11-14,2022-11-14,2023-05-12,https://storage.googleapis.com/act_datacatalog/corrupt0/co_003/001/pdf/pdf/สมชาย_ลินจง_นายกองค์การบริหารส่วนตำบล_กรณีพ้นจากตำแหน่ง_14_พ.ย._2565.pdf,29
160,นาย,นิคม,มาตรปัญญา,นายกเทศมนตรีตำบล,กรณีเข้ารับตำแหน่ง,2022-09-09,,2022-11-14,2022-11-14,2023-05-12,https://storage.googleapis.com/act_datacatalog/corrupt0/co_003/001/pdf/pdf/นิคม_มาตรปัญญา_นายกเทศมนตรีตำบล_กรณีเข้ารับตำแหน่ง_14_พ.ย._2565.pdf,30
161,นาย,บุญช่วย,คำสุภีร์,นายกเทศมนตรีตำบล,กรณีพ้นจากตำแหน่ง,2022-06-23,,2022-11-14,2022-11-14,2023-05-12,https://storage.googleapis.com/act_datacatalog/corrupt0/co_003/001/pdf/pdf/บุญช่วย_คำสุภีร์_นายกเทศมนตรีตำบล_กรณีพ้นจากตำแหน่ง_14_พ.ย._2565.pdf,31
162,รองศาสตราจารย์,ธีระเดช,เจียรสุขสกุล,ผู้อำนวยการ (ม.102(7)),กรณีเข้ารับตำแหน่ง,2022-09-02,,2022-11-14,2022-11-14,2023-05-12,https://storage.googleapis.com/act_datacatalog/corrupt0/co_003/001/pdf/pdf/ธีระเดช_เจียรสุขสกุล_ผู้อำนวยการ_(ม.102(7))_กรณีเข้ารับตำแหน่ง_14_พ.ย._2565.pdf,32
163,นาย,วิเชียร,เจริญนนทสิทธิ์,นายกเทศมนตรีเมือง,กรณีพ้นจากตำแหน่ง,2022-07-27,,2022-11-15,2022-11-15,2023-05-13,https://storage.googleapis.com/act_datacatalog/corrupt0/co_003/001/pdf/pdf/วิเชียร_เจริญนนทสิทธิ์_นายกเทศมนตรีเมือง_กรณีพ้นจากตำแหน่ง_15_พ.ย._2565.pdf,33
291,นาย,โสภณ,ทองดี,อธิบดี,กรณีพ้นจากตำแหน่ง,2022-10-01,,2022-12-28,2022-12-28,2023-06-25,https://storage.googleapis.com/act_datacatalog/corrupt0/co_003/001/pdf/pdf/โสภณ_ทองดี_อธิบดี_กรณีพ้นจากตำแหน่ง_28_ธ.ค._2565.pdf,34
